start_time,end_time,start_time_iso,end_time_iso,project_id,num_model_requests,user_id,api_key_id,model,batch,service_tier,input_tokens,output_tokens,input_cached_tokens,input_uncached_tokens,input_text_tokens,output_text_tokens,input_cached_text_tokens,input_audio_tokens,input_cached_audio_tokens,output_audio_tokens,input_image_tokens,input_cached_image_tokens,output_image_tokens
1777334400,1777420800,2026-04-28T00:00:00+00:00,2026-04-29T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1777420800,1777507200,2026-04-29T00:00:00+00:00,2026-04-30T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1777507200,1777593600,2026-04-30T00:00:00+00:00,2026-05-01T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1777593600,1777680000,2026-05-01T00:00:00+00:00,2026-05-02T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1777680000,1777766400,2026-05-02T00:00:00+00:00,2026-05-03T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1777766400,1777852800,2026-05-03T00:00:00+00:00,2026-05-04T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1777852800,1777939200,2026-05-04T00:00:00+00:00,2026-05-05T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1777939200,1778025600,2026-05-05T00:00:00+00:00,2026-05-06T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1778025600,1778112000,2026-05-06T00:00:00+00:00,2026-05-07T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1778112000,1778198400,2026-05-07T00:00:00+00:00,2026-05-08T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1778198400,1778284800,2026-05-08T00:00:00+00:00,2026-05-09T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1778284800,1778371200,2026-05-09T00:00:00+00:00,2026-05-10T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1778371200,1778457600,2026-05-10T00:00:00+00:00,2026-05-11T00:00:00+00:00,proj_bpCd8kMdiAzO4n5QJ5h01ruT,9.0,user-RJZzSSDa9QH3TgJ6p634QiVK,key_zme5OnfKbi4CHMm0,gpt-4o-mini-2024-07-18,False,default,116453.0,1331.0,0.0,116453.0,116453.0,1331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778371200,1778457600,2026-05-10T00:00:00+00:00,2026-05-11T00:00:00+00:00,proj_bpCd8kMdiAzO4n5QJ5h01ruT,175.0,user-RJZzSSDa9QH3TgJ6p634QiVK,key_zme5OnfKbi4CHMm0,gpt-realtime-2025-08-28,False,default,1367671.0,91213.0,1061248.0,306423.0,258182.0,24494.0,1008960.0,48241.0,52288.0,66719.0,0.0,0.0,0.0
1778371200,1778457600,2026-05-10T00:00:00+00:00,2026-05-11T00:00:00+00:00,proj_bpCd8kMdiAzO4n5QJ5h01ruT,44.0,user-RJZzSSDa9QH3TgJ6p634QiVK,key_zme5OnfKbi4CHMm0,gpt-4o-2024-08-06,False,default,36928.0,6562.0,0.0,36928.0,36928.0,6562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778371200,1778457600,2026-05-10T00:00:00+00:00,2026-05-11T00:00:00+00:00,proj_bpCd8kMdiAzO4n5QJ5h01ruT,248.0,user-RJZzSSDa9QH3TgJ6p634QiVK,key_zme5OnfKbi4CHMm0,gpt-4o-mini-transcribe,False,default,5658.0,1686.0,0.0,5658.0,0.0,1686.0,0.0,5658.0,0.0,0.0,0.0,0.0,0.0
1778457600,1778544000,2026-05-11T00:00:00+00:00,2026-05-12T00:00:00+00:00,proj_bpCd8kMdiAzO4n5QJ5h01ruT,8.0,user-RJZzSSDa9QH3TgJ6p634QiVK,key_zme5OnfKbi4CHMm0,gpt-4o-2024-08-06,False,default,9633.0,1454.0,0.0,9633.0,9633.0,1454.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778457600,1778544000,2026-05-11T00:00:00+00:00,2026-05-12T00:00:00+00:00,proj_bpCd8kMdiAzO4n5QJ5h01ruT,137.0,user-RJZzSSDa9QH3TgJ6p634QiVK,key_zme5OnfKbi4CHMm0,gpt-realtime-2025-08-28,False,default,1420700.0,45073.0,1079936.0,340764.0,310417.0,12872.0,1057664.0,30347.0,22272.0,32201.0,0.0,0.0,0.0
1778457600,1778544000,2026-05-11T00:00:00+00:00,2026-05-12T00:00:00+00:00,proj_bpCd8kMdiAzO4n5QJ5h01ruT,216.0,user-RJZzSSDa9QH3TgJ6p634QiVK,key_zme5OnfKbi4CHMm0,gpt-4o-mini-transcribe,False,default,5018.0,1132.0,0.0,5018.0,0.0,1132.0,0.0,5018.0,0.0,0.0,0.0,0.0,0.0
1778544000,1778630400,2026-05-12T00:00:00+00:00,2026-05-13T00:00:00+00:00,proj_bpCd8kMdiAzO4n5QJ5h01ruT,81.0,user-RJZzSSDa9QH3TgJ6p634QiVK,key_zme5OnfKbi4CHMm0,gpt-realtime-2025-08-28,False,default,1167227.0,29949.0,953024.0,214203.0,192980.0,8827.0,927616.0,21223.0,25408.0,21122.0,0.0,0.0,0.0
1778544000,1778630400,2026-05-12T00:00:00+00:00,2026-05-13T00:00:00+00:00,proj_bpCd8kMdiAzO4n5QJ5h01ruT,137.0,user-RJZzSSDa9QH3TgJ6p634QiVK,key_zme5OnfKbi4CHMm0,gpt-4o-mini-transcribe,False,default,4190.0,879.0,0.0,4190.0,0.0,879.0,0.0,4190.0,0.0,0.0,0.0,0.0,0.0
